trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.8, 'e': 0.0005408328826392645}",30,0,32.84430842821044,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.0005165289256198347}",25,12,-8.728764917901588,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.0004938271604938272}",20,0,33.04118745823295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.0004725897920604915}",20,7,21.577145770237706,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.0004526935264825713}",30,13,17.69503637098804,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.00043402777777777775}",25,0,37.12555050833698,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.00041649312786339027}",25,8,30.763795166771548,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.0004}",25,0,16.80406748369056,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.00038446751249519417}",25,0,18.762702819848897,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.0003698224852071006}",25,4,29.629943530207875,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.000355998576005696}",20,7,-13.795695441320124,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.0003429355281207133}",30,0,-35.01644359620493,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.00033057851239669424}",30,8,35.979221002476734,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.00031887755102040814}",30,8,30.77327152526567,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.0003077870113881194}",30,5,31.89043220029578,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.00029726516052318666}",20,2,27.4360762374421,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.0002872737719046251}",30,14,28.678439777364744,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.0002777777777777778}",20,0,21.885997681832464,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.0002687449610319806}",25,20,9.541037956366123,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.00026014568158168577}",30,15,23.20878363772414,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.0002519526329050139}",30,7,33.14342526442861,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.000244140625}",20,15,9.69883562108646,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.00023668639053254438}",20,0,30.184589915775568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.8, 'e': 0.0002295684113865932}",20,5,26.29506933982909,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.00022276676319893073}",30,1,32.37169047893705,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
